Time,Conductivity_out (microS),Conductivity_out @25*C (microS),Temperature_out,Conductivity_in (microS),Conductivity_in @25*C (microS),Temperature_in
12:36:36,19.58,19.67,24.75,1.29,1.30,24.50
12:36:37,16.71,16.79,24.75,1.73,1.76,24.00
12:36:38,16.71,16.87,24.50,1.73,1.75,24.50
12:36:39,16.71,16.71,25.00,1.29,1.31,24.25
12:36:40,16.71,16.79,24.75,2.18,2.21,24.25
12:36:41,17.45,17.53,24.75,2.18,2.21,24.25
12:36:42,16.71,16.79,24.75,1.73,1.75,24.50
12:36:42,16.71,16.95,24.25,2.18,2.22,24.00
12:36:44,16.71,16.87,24.50,2.18,2.20,24.50
12:36:44,16.71,16.87,24.50,2.18,2.19,24.75
12:36:45,16.71,16.87,24.50,2.18,2.22,24.00
12:36:46,16.71,16.87,24.50,1.73,1.75,24.50
12:36:47,16.71,16.79,24.75,2.18,2.21,24.25
12:36:48,16.71,16.87,24.50,1.73,1.76,24.25
12:36:49,15.97,16.28,24.00,2.63,2.67,24.25
12:36:50,16.71,16.79,24.75,2.18,2.24,23.50
12:36:51,15.97,16.20,24.25,2.63,2.69,23.75
12:36:52,16.71,16.79,24.75,2.63,2.66,24.50
12:36:53,16.71,16.87,24.50,2.18,2.21,24.25
12:36:54,16.71,16.87,24.50,2.18,2.21,24.25
12:36:55,15.97,16.05,24.75,2.18,2.21,24.25
12:36:56,15.97,16.05,24.75,1.73,1.75,24.50
12:36:57,15.97,16.05,24.75,1.73,1.75,24.50
12:36:58,15.22,15.37,24.50,1.73,1.75,24.50
12:36:59,15.97,16.05,24.75,1.73,1.75,24.50
12:37:00,15.97,16.12,24.50,1.29,1.31,24.25
12:37:01,16.71,16.79,24.75,2.63,2.67,24.25
12:37:02,15.97,16.12,24.50,1.29,1.30,24.75
12:37:03,17.45,17.70,24.25,1.73,1.75,24.50
12:37:04,16.71,16.71,25.00,1.73,1.75,24.50
12:37:05,15.96,16.35,23.75,2.18,2.22,24.00
12:37:06,15.97,16.20,24.25,2.18,2.21,24.25
12:37:07,17.45,17.53,24.75,2.18,2.21,24.25
12:37:08,16.71,16.79,24.75,1.73,1.74,24.75
12:37:09,15.22,15.37,24.50,2.18,2.21,24.25
12:37:10,16.71,16.87,24.50,2.18,2.20,24.50
12:37:11,16.71,16.79,24.75,2.18,2.20,24.50
12:37:12,16.71,16.87,24.50,2.63,2.67,24.25
12:37:13,16.71,16.71,25.00,2.63,2.66,24.50
12:37:14,16.70,16.86,24.50,2.18,2.20,24.50
12:37:15,15.96,16.19,24.25,1.73,1.76,24.25
12:37:16,15.96,16.11,24.50,3.02,3.05,24.50
12:37:17,15.22,15.22,25.00,2.18,2.21,24.25
12:37:18,17.45,17.70,24.25,4.35,4.41,24.25
12:37:19,15.97,16.12,24.50,1.73,1.76,24.25
12:37:20,17.45,17.70,24.25,2.18,2.20,24.50
12:37:21,15.96,16.04,24.75,3.02,3.05,24.50
12:37:22,15.97,16.12,24.50,2.62,2.63,24.75
12:37:23,15.96,16.04,24.75,2.18,2.20,24.50
12:37:24,17.45,17.62,24.50,2.63,2.64,24.75
12:37:25,15.96,16.04,24.75,2.18,2.21,24.25
12:37:26,15.22,15.44,24.25,2.18,2.22,24.00
12:37:27,16.71,16.87,24.50,2.18,2.22,24.00
12:37:28,16.71,16.79,24.75,1.29,1.31,24.25
12:37:28,18.09,18.18,24.75,2.18,2.20,24.50
12:37:29,15.22,15.37,24.50,2.63,2.67,24.25
12:37:30,15.22,15.29,24.75,2.18,2.22,24.00
12:37:31,15.22,15.29,24.75,2.18,2.21,24.25
12:37:32,15.22,15.37,24.50,1.73,1.76,24.25
12:37:33,15.96,16.11,24.50,0.84,0.86,24.00
12:37:34,16.70,16.86,24.50,2.18,2.20,24.50
12:37:35,15.96,16.04,24.75,2.18,2.21,24.25
12:37:36,16.70,16.70,25.00,2.18,2.21,24.25
12:37:37,15.96,15.96,25.00,1.73,1.75,24.50
