Time,Conductivity (mS),Conductivity @25*C (microS),Temperature,,
16:30:08,70.73,134.72,0,,
16:30:09,78.94,150.36,0,,
16:30:10,77.97,148.51,0,,
16:30:11,77.73,148.06,0,,
16:30:12,77.05,146.76,0,,
16:30:13,78.67,149.85,0,,
16:30:14,77.74,148.08,0,,
16:30:15,78.54,149.6,0,,
16:30:16,78.68,149.87,0,,
16:30:17,79.21,150.88,0,,
16:30:18,77.59,147.79,0,,
16:30:19,77.6,147.81,0,,
16:30:20,76.76,146.21,0,,
16:30:21,76.8,146.29,0,,
16:30:22,76.74,146.17,0,,
16:30:23,76.69,146.08,0,,
16:30:24,76.69,146.08,0,,
16:30:25,76.65,146,0,,
16:30:26,73.48,139.96,0,,
16:30:27,75.11,143.07,0,,
16:30:28,76.83,146.34,0,,
16:30:29,75.65,144.1,0,,
16:30:30,76.67,146.04,0,,
16:30:31,76.56,145.83,0,,
16:30:32,75.65,144.1,0,,
16:30:33,77.44,147.5,0,,
16:30:34,75.77,144.32,0,,
16:30:34,74.99,142.84,0,,
16:30:36,75.89,144.55,0,,
16:30:36,74.93,142.72,0,,
16:30:37,75.77,144.32,0,,
16:30:38,75.52,143.85,0,,
16:30:39,76.56,145.83,0,,
16:30:40,76.51,145.73,0,,
16:30:41,74.87,142.61,0,,
16:30:42,75.72,144.23,0,,
16:30:43,75.7,144.19,0,,
16:30:44,75.63,144.06,0,,
16:30:45,75.72,144.23,0,,
16:30:46,75.5,143.81,0,,
16:30:47,76.49,145.7,0,,
Time,Conductivity (mS),Conductivity @25*C (microS),Temperature,,
16:32:40,91.45,91.45,25,,
16:32:41,91.16,90.73,25.25,,
16:32:42,93.18,94.07,24.5,,
16:32:43,90.84,90.41,25.25,,
16:32:44,92.48,92.04,25.25,,
16:32:45,92.77,92.77,25,,
16:32:46,91.72,92.16,24.75,,
16:32:47,89.64,89.64,25,,
16:32:47,91.97,91.97,25,,
16:32:48,90.48,90.48,25,,
16:32:49,91.25,91.69,24.75,,
16:32:50,91.06,92.38,24.25,,
16:32:51,91,91.43,24.75,,
16:32:52,91.08,91.51,24.75,,
16:32:53,91.05,91.92,24.5,,
16:32:54,91,91.43,24.75,,
16:32:55,90.8,91.67,24.5,,
16:32:56,92.1,92.54,24.75,,
16:32:57,89.93,90.79,24.5,,
16:32:58,91.05,91.48,24.75,,
16:32:59,91.85,92.73,24.5,,
16:33:00,91.72,92.16,24.75,,
16:33:01,91.85,93.18,24.25,,
16:33:02,91.26,93.03,24,,
16:33:03,90.51,90.51,25,,
16:33:04,90.82,91.25,24.75,,
16:33:05,92.34,93.23,24.5,,
16:33:06,90.17,91.47,24.25,,
16:33:07,92.69,92.69,25,,
16:33:08,90.8,92.11,24.25,,
16:33:09,91.26,92.14,24.5,,
16:33:10,91.03,91.9,24.5,,
16:33:11,89.64,89.64,25,,
16:33:12,90.76,91.63,24.5,,
16:33:13,90.48,90.91,24.75,,
16:33:14,89.91,91.21,24.25,,
16:33:15,90.2,90.63,24.75,,
16:33:16,91.77,93.1,24.25,,
16:33:17,91.34,92.22,24.5,,
16:33:18,90.8,92.11,24.25,,
16:33:19,91.24,92.12,24.5,,
16:33:20,91.31,92.19,24.5,,
16:33:21,90.76,92.52,24,,
16:33:22,91.84,92.72,24.5,,
16:33:23,92.11,92.55,24.75,,
16:33:24,90.97,92.29,24.25,,
16:33:25,90.44,90.87,24.75,,
16:33:26,90.77,92.08,24.25,,
16:33:27,92.35,92.79,24.75,,
16:33:28,90.76,92.52,24,,
16:33:29,91.77,92.65,24.5,,
16:33:30,89.92,90.78,24.5,,
16:33:30,91.75,92.63,24.5,,
16:33:31,90.47,92.22,24,,
16:33:32,90.74,91.61,24.5,,
16:33:33,90.88,92.19,24.25,,
16:33:34,91.87,92.75,24.5,,
16:33:35,91.17,92.94,24,,
16:33:36,91.03,92.35,24.25,,
16:33:37,90.94,92.25,24.25,,
16:33:38,91.25,92.13,24.5,,
16:33:39,90.51,91.82,24.25,,
16:33:40,90.47,91.34,24.5,,
16:33:41,90.34,91.65,24.25,,
16:33:42,91.51,92.39,24.5,,
16:33:43,91.36,93.13,24,,
