Time,Conductivity_out (microS),Conductivity_out @25*C (microS),Temperature_out,Conductivity_in (microS),Conductivity_in @25*C (microS),Temperature_in
14:47:37,52.3,51.81,25.5,100.4,99.46,25.5
14:47:38,51.55,52.55,24,103.2,103.2,25
14:47:39,52.3,53.57,23.75,108.1,108.62,24.75
14:47:40,51.56,53.07,23.5,113.8,113.8,25
14:47:41,53.7,55.28,23.5,122.3,122.88,24.75
14:47:42,53.7,55.01,23.75,132.5,134.42,24.25
14:47:43,54.45,55.5,24,143.7,144.39,24.75
14:47:44,53.71,54.75,24,154.8,155.54,24.75
14:47:45,55.2,56.27,24,167.4,168.2,24.75
14:47:46,55.2,56.27,24,181.8,183.54,24.5
14:47:46,55.94,57.3,23.75,198.5,198.5,25
14:47:47,57.33,58.44,24,213.5,214.52,24.75
14:47:48,55.94,56.48,24.5,229.7,230.8,24.75
14:47:49,56.59,57.41,24.25,248.7,248.7,25
14:47:50,57.33,58.72,23.75,266.6,269.16,24.5
14:47:51,57.34,58.45,24,284,285.36,24.75
14:47:52,58.09,59.5,23.75,304.3,305.75,24.75
14:47:53,59.57,61.02,23.75,326.2,327.76,24.75
14:47:54,58.83,60.26,23.75,347.6,349.26,24.75
14:47:55,59.58,61.03,23.75,371.7,375.27,24.5
14:47:56,57.37,58.77,23.75,394.6,396.48,24.75
14:47:57,60.97,62.45,23.75,420.1,424.13,24.5
14:47:58,59.6,60.46,24.25,448.4,450.54,24.75
14:47:59,58.86,60,24,477.3,481.88,24.5
14:48:00,58.86,60,24,505.8,508.21,24.75
14:48:01,61.73,63.23,23.75,537.1,537.1,25
14:48:02,60.99,62.78,23.5,569.4,569.4,25
14:48:03,60.99,62.47,23.75,602.4,602.4,25
14:48:04,60.99,62.47,23.75,636.3,645.5,24.25
14:48:05,63.21,64.75,23.75,671.7,674.91,24.75
14:48:06,61.74,63.55,23.5,709.6,712.99,24.75
14:48:07,61,62.48,23.75,746.9,757.7,24.25
14:48:08,62.48,63.69,24,782.9,779.2,25.25
14:48:09,63.23,64.77,23.75,819.5,823.41,24.75
14:48:10,63.24,64.15,24.25,856.3,856.3,25
14:48:11,63.23,64.45,24,892.8,892.8,25
14:48:12,64.63,65.88,24,929.4,933.84,24.75
14:48:13,63.24,64.78,23.75,964,968.6,24.75
14:48:14,62.5,64.65,23.25,997.2,997.2,25
14:48:15,64.64,66.21,23.75,1029,1033.91,24.75
14:48:16,61.03,62.51,23.75,1058,1063.05,24.75
14:48:17,61.78,63.28,23.75,1085,1090.18,24.75
14:48:18,61.04,62.22,24,1110,1115.3,24.75
