Time,Conductivity (mS),Conductivity @25*C (microS),Temperature
13:57:55,0.00,0.00,22.00
13:57:56,0.00,0.00,21.75
13:57:57,0.00,0.00,21.50
13:57:58,0.00,0.00,21.75
13:57:59,0.00,0.00,22.00
13:58:00,0.00,0.00,22.00
13:58:01,0.00,0.00,21.75
13:58:02,0.00,0.00,21.75
13:58:03,0.00,0.00,22.25
13:58:04,0.00,0.00,22.25
13:58:05,0.00,0.00,22.25
13:58:06,0.00,0.00,22.00
13:58:07,0.00,0.00,22.25
13:58:08,0.00,0.00,22.25
13:58:09,0.00,0.00,22.00
13:58:10,0.00,0.00,22.25
13:58:11,0.00,0.00,21.75
13:58:12,0.00,0.00,22.00
13:58:13,0.00,0.00,21.25
13:58:14,0.00,0.00,22.25
13:58:15,0.00,0.00,22.25
13:58:16,0.00,0.00,22.25
13:58:17,0.00,0.00,22.00
13:58:18,0.00,0.00,22.00
13:58:18,0.00,0.00,22.25
13:58:19,0.00,0.00,22.25
13:58:20,0.00,0.00,22.25
13:58:21,0.00,0.00,22.25
13:58:22,0.00,0.00,22.00
13:58:23,0.00,0.00,21.75
13:58:24,0.00,0.00,21.75
13:58:25,0.00,0.00,22.00
13:58:26,0.00,0.00,22.00
13:58:27,0.00,0.00,21.50
13:58:28,0.00,0.00,22.25
13:58:29,0.00,0.00,22.25
13:58:30,0.00,0.00,22.00
13:58:31,0.00,0.00,22.00
13:58:32,0.00,0.00,22.25
13:58:33,0.00,0.00,22.25
13:58:34,0.00,0.00,22.25
13:58:35,0.00,0.00,22.00
13:58:36,0.00,0.00,22.00
13:58:37,0.00,0.00,22.00
13:58:38,0.00,0.00,22.00
13:58:39,0.00,0.00,22.00
13:58:40,0.00,0.00,22.25
13:58:41,0.00,0.00,22.25
13:58:42,0.00,0.00,22.25
13:58:43,0.00,0.00,22.25
13:58:44,0.00,0.00,22.25
13:58:45,0.00,0.00,22.25
13:58:46,0.00,0.00,22.25
13:58:47,0.00,0.00,22.25
13:58:48,0.00,0.00,21.75
13:58:49,0.00,0.00,22.00
13:58:50,0.00,0.00,22.25
13:58:51,0.00,0.00,22.25
13:58:52,0.00,0.00,22.00
13:58:53,0.00,0.00,22.00
13:58:54,0.00,0.00,22.00
13:58:55,0.00,0.00,21.75
13:58:56,0.00,0.00,22.00
13:58:57,0.00,0.00,22.25
13:58:58,0.00,0.00,22.00
13:58:59,0.00,0.00,21.75
13:59:00,0.00,0.00,21.50
13:59:01,0.00,0.00,22.00
13:59:02,0.00,0.00,22.25
13:59:02,0.00,0.00,21.75
13:59:03,0.00,0.00,22.25
13:59:04,0.00,0.00,22.00
13:59:05,0.00,0.00,22.00
13:59:06,0.00,0.00,22.00
13:59:07,0.00,0.00,22.25
13:59:08,0.00,0.00,21.25
13:59:09,0.00,0.00,22.00
13:59:10,0.00,0.00,21.75
13:59:11,0.00,0.00,21.75
13:59:12,0.00,0.00,22.00
13:59:13,0.00,0.00,21.00
13:59:14,0.00,0.00,22.00
13:59:15,0.00,0.00,22.25
13:59:16,0.00,0.00,22.25
13:59:17,0.00,0.00,22.25
13:59:18,0.00,0.00,21.50
13:59:19,0.00,0.00,22.50
13:59:20,0.00,0.00,22.25
13:59:21,0.00,0.00,22.25
13:59:22,0.00,0.00,22.25
13:59:23,0.00,0.00,22.25
13:59:24,0.00,0.00,22.25
13:59:25,0.00,0.00,22.25
13:59:26,0.00,0.00,22.00
13:59:27,0.00,0.00,22.25
13:59:28,0.00,0.00,22.25
13:59:29,0.00,0.00,22.25
13:59:30,0.00,0.00,22.50
13:59:31,0.00,0.00,22.25
13:59:32,0.00,0.00,21.75
13:59:33,0.00,0.00,22.00
13:59:34,0.00,0.00,22.25
13:59:35,0.00,0.00,22.25
13:59:36,0.00,0.00,22.25
13:59:37,0.00,0.00,22.25
13:59:38,0.00,0.00,21.25
13:59:39,0.00,0.00,22.00
13:59:40,0.00,0.00,22.00
13:59:41,0.00,0.00,22.25
13:59:42,0.00,0.00,22.25
13:59:43,0.00,0.00,22.00
13:59:44,0.00,0.00,22.00
