Time,Conductivity (mS),Conductivity @25*C (microS),Temperature
13:15:25,0.00,0.00,21.75
13:15:26,0.00,0.00,21.50
13:15:27,0.00,0.00,18.25
13:15:28,0.00,0.00,15.75
13:15:29,0.00,0.00,20.25
13:15:30,0.00,0.00,23.25
13:15:31,0.00,0.00,22.00
13:15:32,0.00,0.00,19.50
13:15:33,0.00,0.00,20.00
13:15:34,0.00,0.00,22.00
13:15:35,0.00,0.00,18.00
13:15:36,0.00,0.00,17.25
13:15:37,0.00,0.00,18.75
13:15:38,0.00,0.00,21.00
13:15:39,0.00,0.00,21.50
13:15:40,0.00,0.00,22.00
13:15:41,0.00,0.00,19.00
13:15:42,0.00,0.00,18.25
13:15:43,0.00,0.00,22.75
13:15:44,0.00,0.00,19.25
13:15:45,0.00,0.00,17.00
13:15:46,0.00,0.00,20.50
13:15:47,0.00,0.00,23.25
13:15:48,0.00,0.00,23.00
13:15:49,0.00,0.00,21.00
13:15:50,0.00,0.00,20.75
13:15:51,0.00,0.00,20.50
13:15:52,0.00,0.00,17.75
13:15:53,0.00,0.00,18.75
13:15:54,0.00,0.00,18.00
13:15:55,0.00,0.00,20.00
13:15:56,0.00,0.00,21.75
13:15:57,0.00,0.00,21.50
13:15:58,0.00,0.00,19.25
13:15:59,0.00,0.00,19.25
13:16:00,0.00,0.00,23.25
13:16:00,0.00,0.00,18.50
13:16:01,0.00,0.00,18.25
13:16:02,0.00,0.00,20.25
13:16:03,0.00,0.00,23.25
13:16:04,0.00,0.00,22.50
13:16:05,0.00,0.00,22.00
13:16:06,0.00,0.00,20.50
13:16:07,0.00,0.00,19.00
13:16:08,0.00,0.00,18.00
13:16:09,0.00,0.00,19.50
13:16:10,0.00,0.00,17.25
13:16:11,0.00,0.00,19.25
13:16:12,0.00,0.00,22.50
13:16:13,0.00,0.00,20.75
13:16:14,0.00,0.00,20.00
13:16:15,0.00,0.00,19.50
13:16:16,0.00,0.00,20.75
13:16:17,0.00,0.00,19.00
13:16:18,0.00,0.00,19.25
13:16:19,0.00,0.00,20.75
13:16:20,0.00,0.00,22.50
13:16:21,0.00,0.00,22.50
13:16:22,0.00,0.00,23.25
