Time,Conductivity (mS),Conductivity @25*C (microS),Temperature
15:47:43,0.00,0.00,23.50
15:47:44,0.00,0.00,24.00
15:47:45,0.00,0.00,24.00
15:47:46,0.00,0.00,23.75
15:47:47,0.00,0.00,23.75
15:47:48,0.00,0.00,23.75
15:47:49,0.00,0.00,24.00
15:47:50,0.00,0.00,23.50
15:47:51,0.00,0.00,24.00
15:47:52,0.00,0.00,24.00
15:47:53,0.00,0.00,24.00
15:47:54,0.00,0.00,24.00
15:47:55,0.00,0.00,24.00
15:47:56,0.00,0.00,24.00
15:47:57,0.00,0.00,24.00
15:47:58,0.00,0.00,23.50
15:47:59,0.00,0.00,24.00
15:48:00,0.00,0.00,23.75
15:48:01,0.00,0.00,23.75
15:48:02,0.00,0.00,24.00
15:48:03,0.00,0.00,23.75
15:48:04,0.00,0.00,24.00
15:48:05,0.00,0.00,24.00
15:48:06,0.00,0.00,23.75
15:48:07,0.00,0.00,24.00
15:48:08,0.00,0.00,23.50
15:48:08,0.00,0.00,23.50
15:48:09,0.00,0.00,23.50
15:48:10,0.00,0.00,24.00
15:48:11,0.00,0.00,24.00
15:48:12,0.00,0.00,24.00
15:48:13,0.00,0.00,23.75
15:48:14,0.00,0.00,24.00
15:48:15,0.00,0.00,24.00
15:48:16,0.00,0.00,23.50
15:48:17,0.00,0.00,23.75
15:48:18,0.00,0.00,24.00
15:48:19,0.00,0.00,24.00
15:48:20,0.00,0.00,24.00
15:48:21,0.00,0.00,23.75
15:48:22,0.00,0.00,24.00
15:48:23,0.00,0.00,24.00
15:48:24,0.00,0.00,23.25
15:48:25,0.00,0.00,23.75
15:48:26,0.00,0.00,23.25
15:48:27,0.00,0.00,24.00
15:48:28,0.00,0.00,24.25
15:48:29,0.00,0.00,24.00
15:48:30,0.00,0.00,24.00
15:48:31,0.00,0.00,23.75
15:48:32,0.00,0.00,23.75
15:48:33,0.00,0.00,23.75
15:48:34,0.00,0.00,23.50
15:48:35,0.00,0.00,24.00
15:48:36,0.00,0.00,24.00
15:48:37,0.00,0.00,24.25
15:48:38,0.00,0.00,24.00
15:48:39,0.00,0.00,24.00
15:48:40,0.00,0.00,24.25
15:48:41,0.00,0.00,23.75
15:48:42,0.00,0.00,23.50
15:48:43,0.00,0.00,23.50
15:48:44,0.00,0.00,23.50
15:48:45,0.00,0.00,24.00
15:48:46,0.00,0.00,23.75
15:48:47,0.00,0.00,23.25
15:48:48,0.00,0.00,24.00
15:48:49,0.00,0.00,23.75
15:48:50,0.00,0.00,24.00
15:48:51,0.00,0.00,24.00
15:48:52,0.00,0.00,24.00
15:48:53,0.00,0.00,23.75
