x_water,T_water,,x_rxn,T_rxn
0.01002,322.9776256,,0.01,323
0.01004,322.9748803,,0.01001,322.9976005
0.01005,322.9721581,,0.01002,322.9952013
0.01007,322.9695283,,0.01003,322.9928023
0.01009,322.9670143,,0.01004,322.9904034
0.01011,322.9647314,,0.01005,322.9880048
0.01013,322.9621017,,0.01006,322.9856064
0.01015,322.9594258,,0.01007,322.9832082
0.01015,322.9570736,,0.01008,322.9808101
0.01016,322.9546751,,0.01009,322.9784123
0.01021,322.9523923,,0.0101,322.9760147
0.01022,322.9500864,,0.01011,322.9736174
0.01025,322.9477573,,0.01012,322.9712202
0.01026,322.9453126,,0.01013,322.9688232
0.01028,322.9426135,,0.01014,322.9664264
0.01030,322.9399375,,0.01015,322.9640299
0.01031,322.9374235,,0.01016,322.9616335
0.01034,322.93484,,0.01017,322.9592373
0.01035,322.9323491,,0.01018,322.9568414
0.01035,322.9298812,,0.01019,322.9544457
0.01040,322.9271822,,0.0102,322.9520501
0.01041,322.9243443,,0.01021,322.9496548
0.01043,322.9214834,,0.01022,322.9472597
0.01045,322.9190387,,0.01023,322.9448648
0.01047,322.9164783,,0.01024,322.94247
0.01049,322.9138255,,0.01025,322.9400755
0.01051,322.9115196,,0.01026,322.9376812
0.01053,322.9090749,,0.01027,322.9352872
0.01054,322.9068383,,0.01028,322.9328933
0.01058,322.9046249,,0.01029,322.9304996
0.01061,322.902134,,0.0103,322.9281061
0.01062,322.8993655,,0.01031,322.9257129
0.01064,322.8966896,,0.01032,322.9233198
0.01066,322.8941986,,0.01033,322.9209269
0.01068,322.8915458,,0.01034,322.9185343
0.01070,322.8888467,,0.01035,322.9161419
0.01072,322.886217,,0.01036,322.9137496
0.01073,322.8835642,,0.01037,322.9113576
0.01077,322.8811427,,0.01038,322.9089658
0.01079,322.8785592,,0.01039,322.9065741
0.01081,322.8761839,,0.0104,322.9041827
0.01083,322.8738549,,0.01041,322.9017915
0.01085,322.8714333,,0.01042,322.8994005
0.01087,322.8688961,,0.01043,322.8970097
0.01089,322.866012,,0.01044,322.8946191
0.01091,322.8631742,,0.01045,322.8922288
0.01093,322.8605445,,0.01046,322.8898386
0.01098,322.8581461,,0.01047,322.8874486
0.01100,322.8557939,,0.01048,322.8850588
0.01102,322.8532799,,0.01049,322.8826693
0.01104,322.8504883,,0.0105,322.8802799
0.01106,322.8478123,,0.01051,322.8778908
0.01108,322.8449745,,0.01052,322.8755018
0.01110,322.8422755,,0.01053,322.8731131
0.01111,322.8399002,,0.01054,322.8707246
0.01113,322.8374092,,0.01055,322.8683362
0.01117,322.8348258,,0.01056,322.8659481
0.01119,322.8321499,,0.01057,322.8635602
0.01121,322.8294277,,0.01058,322.8611725
0.01123,322.8265205,,0.01059,322.858785
0.01125,322.8239602,,0.0106,322.8563977
0.01127,322.8214924,,0.01061,322.8540106
0.01129,322.8189321,,0.01062,322.8516237
0.01130,322.8161405,,0.01063,322.849237
0.01132,322.8134415,,0.01064,322.8468506
0.01136,322.8109043,,0.01065,322.8444643
0.01138,322.8084365,,0.01066,322.8420782
0.01140,322.8059918,,0.01067,322.8396924
0.01142,322.803524,,0.01068,322.8373067
0.01144,322.80101,,0.01069,322.8349213
0.01146,322.7984728,,0.0107,322.832536
0.01147,322.79582,,0.01071,322.830151
0.01149,322.7930284,,0.01072,322.8277661
0.01151,322.7903988,,0.01073,322.8253815
0.01155,322.7875841,,0.01074,322.8229971
0.01157,322.7850007,,0.01075,322.8206129
0.01159,322.7821397,,0.01076,322.8182289
0.01161,322.7795332,,0.01077,322.8158451
0.01163,322.7769035,,0.01078,322.8134615
0.01165,322.7745051,,0.01079,322.8110781
0.01166,322.7720142,,0.0108,322.8086949
0.01169,322.7690839,,0.01081,322.8063119
0.01170,322.7662692,,0.01082,322.8039291
0.01174,322.7637552,,0.01083,322.8015465
0.01176,322.7612874,,0.01084,322.7991642
0.01178,322.7587733,,0.01085,322.796782
0.01179,322.7562593,,0.01086,322.7944
0.01182,322.753699,,0.01087,322.7920183
0.01184,322.7508843,,0.01088,322.7896367
0.01186,322.7482547,,0.01089,322.7872554
0.01187,322.7456713,,0.0109,322.7848742
0.01189,322.7428797,,0.01091,322.7824933
0.01193,322.74025,,0.01092,322.7801126
0.01195,322.7375972,,0.01093,322.777732
0.01197,322.7348982,,0.01094,322.7753517
0.01199,322.731991,,0.01095,322.7729716
0.01200,322.7293151,,0.01096,322.7705917
0.01202,322.7267317,,0.01097,322.768212
0.01205,322.7241714,,0.01098,322.7658325
0.01206,322.7217268,,0.01099,322.7634532
0.01209,322.719074,,0.011,322.7610741
0.01209,322.7164443,,0.01101,322.7586952
0.01214,322.7137453,,0.01102,322.7563165
0.01216,322.711185,,0.01103,322.7539381
0.01218,322.708301,,0.01104,322.7515598
0.01220,322.7053475,,0.01105,322.7491817
0.01221,322.7026716,,0.01106,322.7468039
0.01223,322.7001114,,0.01107,322.7444262
0.01225,322.697528,,0.01108,322.7420487
0.01227,322.6952683,,0.01109,322.7396715
0.01228,322.692708,,0.0111,322.7372945
0.01228,322.6901478,,0.01111,322.7349176
0.01233,322.6875875,,0.01112,322.732541
0.01235,322.6850041,,0.01113,322.7301646
0.01236,322.6823513,,0.01114,322.7277883
0.01238,322.6797217,,0.01115,322.7254123
0.01240,322.677092,,0.01116,322.7230365
0.01243,322.6743467,,0.01117,322.7206609
0.01244,322.6717633,,0.01118,322.7182855
0.01246,322.6691799,,0.01119,322.7159103
0.01247,322.6665272,,0.0112,322.7135353
0.01252,322.6639669,,0.01121,322.7111605
0.01254,322.6615454,,0.01122,322.7087859
0.01256,322.6589157,,0.01123,322.7064115
0.01257,322.656448,,0.01124,322.7040373
0.01259,322.6538414,,0.01125,322.7016633
0.01261,322.6512349,,0.01126,322.6992896
0.01263,322.6486284,,0.01127,322.696916
0.01265,322.6463457,,0.01128,322.6945426
0.01266,322.6441323,,0.01129,322.6921695
0.01271,322.641572,,0.0113,322.6897965
0.01272,322.6391968,,0.01131,322.6874238
0.01274,322.6363359,,0.01132,322.6850512
0.01277,322.6336137,,0.01133,322.6826789
0.01278,322.6307759,,0.01134,322.6803068
0.01280,322.6280307,,0.01135,322.6779348
0.01282,322.6253085,,0.01136,322.6755631
0.01284,322.6228176,,0.01137,322.6731916
0.01285,322.6204655,,0.01138,322.6708203
0.01290,322.6178128,,0.01139,322.6684491
0.01292,322.6150906,,0.0114,322.6660782
0.01293,322.6123916,,0.01141,322.6637075
0.01295,322.6097157,,0.01142,322.661337
0.01297,322.6074561,,0.01143,322.6589667
0.01299,322.6051271,,0.01144,322.6565966
0.01301,322.602405,,0.01145,322.6542267
0.01303,322.5995441,,0.01146,322.651857
0.01305,322.5967525,,0.01147,322.6494876
0.01308,322.594146,,0.01148,322.6471183
0.01311,322.5912158,,0.01149,322.6447492
0.01312,322.588563,,0.0115,322.6423803
0.01314,322.5859334,,0.01151,322.6400117
0.01316,322.5835813,,0.01152,322.6376432
0.01318,322.5811135,,0.01153,322.6352749
0.01320,322.5785764,,0.01154,322.6329069
0.01322,322.5759005,,0.01155,322.630539
0.01324,322.5732246,,0.01156,322.6281714
0.01327,322.5708031,,0.01157,322.6258039
0.01329,322.5683354,,0.01158,322.6234367
0.01331,322.565937,,0.01159,322.6210697
0.01333,322.5633305,,0.0116,322.6187028
0.01335,322.5607471,,0.01161,322.6163362
0.01337,322.5581175,,0.01162,322.6139698
0.01339,322.5554416,,0.01163,322.6116035
0.01340,322.5529045,,0.01164,322.6092375
0.01343,322.5503443,,0.01165,322.6068717
0.01347,322.5478303,,0.01166,322.6045061
0.01348,322.5454551,,0.01167,322.6021407
0.01350,322.5430798,,0.01168,322.5997755
0.01352,322.5404965,,0.01169,322.5974105
0.01354,322.5378206,,0.0117,322.5950457
0.01356,322.5352603,,0.01171,322.5926811
0.01358,322.5326076,,0.01172,322.5903167
0.01359,322.5300011,,0.01173,322.5879525
0.01362,322.5274177,,0.01174,322.5855885
0.01363,322.5246725,,0.01175,322.5832248
0.01368,322.5222279,,0.01176,322.5808612
0.01369,322.5196214,,0.01177,322.5784978
0.01371,322.517223,,0.01178,322.5761346
0.01373,322.5147322,,0.01179,322.5737717
0.01375,322.5122876,,0.0118,322.5714089
0.01377,322.5100048,,0.01181,322.5690464
0.01379,322.5073521,,0.01182,322.566684
0.01381,322.5046531,,0.01183,322.5643219
0.01381,322.5021854,,0.01184,322.5619599
0.01382,322.4996483,,0.01185,322.5595982
0.01386,322.496903,,0.01186,322.5572366
0.01388,322.4941115,,0.01187,322.5548753
0.01390,322.4914819,,0.01188,322.5525141
0.01392,322.4888292,,0.01189,322.5501532
0.01394,322.4861071,,0.0119,322.5477925
0.01396,322.4835237,,0.01191,322.545432
0.01397,322.4808479,,0.01192,322.5430716
0.01400,322.4781026,,0.01193,322.5407115
0.01400,322.4755886,,0.01194,322.5383516
0.01405,322.4731672,,0.01195,322.5359919
0.01407,322.4708151,,0.01196,322.5336324
0.01409,322.4680698,,0.01197,322.5312731
0.01411,322.4654402,,0.01198,322.528914
0.01412,322.4623944,,0.01199,322.5265551
0.01415,322.4593947,,0.012,322.5241964
0.01416,322.456742,,0.01201,322.5218379
0.01418,322.454043,,0.01202,322.5194796
0.01419,322.4515522,,0.01203,322.5171215
0.01424,322.4491538,,0.01204,322.5147636
0.01426,322.4466167,,0.01205,322.5124059
0.01428,322.4440796,,0.01206,322.5100485
0.01430,322.4416351,,0.01207,322.5076912
0.01432,322.439098,,0.01208,322.5053341
0.01433,322.4363527,,0.01209,322.5029772
0.01435,322.4337694,,0.0121,322.5006206
0.01440,322.4314636,,0.01211,322.4982641
0.01441,322.4290421,,0.01212,322.4959078
0.01443,322.4263662,,0.01213,322.4935518
0.01445,322.4238754,,0.01214,322.4911959
0.01447,322.4213846,,0.01215,322.4888403
0.01448,322.4187318,,0.01216,322.4864848
0.01451,322.4159635,,0.01217,322.4841296
0.01453,322.4133801,,0.01218,322.4817745
0.01454,322.4108431,,0.01219,322.4794197
0.01456,322.4086529,,0.0122,322.4770651
0.01458,322.4060695,,0.01221,322.4747106
0.01462,322.4034631,,0.01222,322.4723564
0.01464,322.4009028,,0.01223,322.4700024
0.01466,322.3982964,,0.01224,322.4676485
0.01467,322.3955049,,0.01225,322.4652949
0.01469,322.3928522,,0.01226,322.4629415
0.01471,322.390292,,0.01227,322.4605883
0.01474,322.3875699,,0.01228,322.4582352
0.01475,322.3850559,,0.01229,322.4558824
0.01478,322.3826345,,0.0123,322.4535298
0.01478,322.3799124,,0.01231,322.4511774
0.01483,322.3772828,,0.01232,322.4488252
0.01485,322.3748845,,0.01233,322.4464732
0.01487,322.372463,,0.01234,322.4441214
0.01489,322.3699028,,0.01235,322.4417698
0.01490,322.3675508,,0.01236,322.4394184
0.01492,322.3651756,,0.01237,322.4370672
0.01494,322.3624303,,0.01238,322.4347162
0.01496,322.3597776,,0.01239,322.4323654
0.01497,322.3571018,,0.0124,322.4300148
0.01497,322.354611,,0.01241,322.4276644
0.01502,322.3521895,,0.01242,322.4253143
0.01504,322.3498143,,0.01243,322.4229643
0.01505,322.3475317,,0.01244,322.4206145
0.01508,322.3451333,,0.01245,322.4182649
0.01509,322.3425038,,0.01246,322.4159155
0.01511,322.3399898,,0.01247,322.4135664
0.01513,322.3372909,,0.01248,322.4112174
0.01515,322.3348463,,0.01249,322.4088686
0.01516,322.3325405,,0.0125,322.4065201
0.01517,322.3299803,,0.01251,322.4041717
0.01521,322.3273738,,0.01252,322.4018235
0.01523,322.3248136,,0.01253,322.3994756
0.01524,322.3224153,,0.01254,322.3971278
0.01526,322.3201558,,0.01255,322.3947803
0.01528,322.3176187,,0.01256,322.3924329
0.01530,322.3150585,,0.01257,322.3900858
0.01532,322.3126139,,0.01258,322.3877388
0.01534,322.3102388,,0.01259,322.3853921
0.01535,322.3078405,,0.0126,322.3830455
0.01540,322.3053496,,0.01261,322.3806992
0.01542,322.3027201,,0.01262,322.378353
0.01544,322.2999749,,0.01263,322.3760071
0.01545,322.2976228,,0.01264,322.3736614
0.01547,322.2954558,,0.01265,322.3713158
0.01549,322.2930575,,0.01266,322.3689705
0.01551,322.2903354,,0.01267,322.3666254
0.01553,322.2876827,,0.01268,322.3642804
0.01554,322.2853307,,0.01269,322.3619357
0.01559,322.2831867,,0.0127,322.3595912
0.01560,322.2808578,,0.01271,322.3572469
0.01563,322.2786677,,0.01272,322.3549027
0.01565,322.2762,,0.01273,322.3525588
0.01566,322.2736398,,0.01274,322.3502151
0.01568,322.2708715,,0.01275,322.3478716
0.01570,322.2681957,,0.01276,322.3455283
0.01572,322.2656355,,0.01277,322.3431852
0.01573,322.2629597,,0.01278,322.3408423
0.01578,322.2605151,,0.01279,322.3384995
0.01580,322.2579087,,0.0128,322.336157
0.01581,322.2557648,,0.01281,322.3338147
0.01583,322.2532046,,0.01282,322.3314726
0.01585,322.2506444,,0.01283,322.3291307
0.01587,322.2482461,,0.01284,322.326789
0.01589,322.2457091,,0.01285,322.3244475
0.01591,322.242987,,0.01286,322.3221062
0.01593,322.2403574,,0.01287,322.3197651
0.01596,322.2378204,,0.01288,322.3174242
0.01598,322.235584,,0.01289,322.3150835
0.01601,322.2333013,,0.0129,322.312743
