x_high_0.025,T_high_0.025,x_rxn,T_rxn
0.01,323,0.01002,322.9776256
0.01002,322.9948598,0.01004,322.9748803
0.01004,322.9897205,0.01005,322.9721581
0.01006,322.9845822,0.01007,322.9695283
0.01008,322.9794448,0.01009,322.9670143
0.0101,322.9743083,0.01011,322.9647314
0.01012,322.9691728,0.01013,322.9621017
0.01014,322.9640382,0.01015,322.9594258
0.01016,322.9589046,0.01015,322.9570736
0.01018,322.9537719,0.01016,322.9546751
0.0102,322.9486402,0.01021,322.9523923
0.01022,322.9435094,0.01022,322.9500864
0.01024,322.9383795,0.01025,322.9477573
0.01026,322.9332506,0.01026,322.9453126
0.01028,322.9281226,0.01028,322.9426135
0.0103,322.9229956,0.0103,322.9399375
0.01032,322.9178695,0.01031,322.9374235
0.01034,322.9127443,0.01034,322.93484
0.01036,322.9076201,0.01035,322.9323491
0.01038,322.9024969,0.01035,322.9298812
0.0104,322.8973745,0.0104,322.9271822
0.01042,322.8922531,0.01041,322.9243443
0.01044,322.8871327,0.01043,322.9214834
0.01046,322.8820132,0.01045,322.9190387
0.01048,322.8768946,0.01047,322.9164783
0.0105,322.871777,0.01049,322.9138255
0.01052,322.8666603,0.01051,322.9115196
0.01054,322.8615446,0.01053,322.9090749
0.01056,322.8564297,0.01054,322.9068383
0.01058,322.8513159,0.01058,322.9046249
0.0106,322.8462029,0.01061,322.902134
0.01062,322.8410909,0.01062,322.8993655
0.01064,322.8359799,0.01064,322.8966896
0.01066,322.8308698,0.01066,322.8941986
0.01068,322.8257606,0.01068,322.8915458
0.0107,322.8206523,0.0107,322.8888467
0.01072,322.815545,0.01072,322.886217
0.01074,322.8104387,0.01073,322.8835642
0.01076,322.8053333,0.01077,322.8811427
0.01078,322.8002288,0.01079,322.8785592
0.0108,322.7951252,0.01081,322.8761839
0.01082,322.7900226,0.01083,322.8738549
0.01084,322.7849209,0.01085,322.8714333
0.01086,322.7798202,0.01087,322.8688961
0.01088,322.7747204,0.01089,322.866012
0.0109,322.7696215,0.01091,322.8631742
0.01092,322.7645235,0.01093,322.8605445
0.01094,322.7594265,0.01098,322.8581461
0.01096,322.7543305,0.011,322.8557939
0.01098,322.7492354,0.01102,322.8532799
0.011,322.7441412,0.01104,322.8504883
0.01102,322.7390479,0.01106,322.8478123
0.01104,322.7339556,0.01108,322.8449745
0.01106,322.7288642,0.0111,322.8422755
0.01108,322.7237737,0.01111,322.8399002
0.0111,322.7186842,0.01113,322.8374092
0.01112,322.7135956,0.01117,322.8348258
0.01114,322.708508,0.01119,322.8321499
0.01116,322.7034213,0.01121,322.8294277
0.01118,322.6983355,0.01123,322.8265205
0.0112,322.6932506,0.01125,322.8239602
0.01122,322.6881667,0.01127,322.8214924
0.01124,322.6830837,0.01129,322.8189321
0.01126,322.6780017,0.0113,322.8161405
0.01128,322.6729206,0.01132,322.8134415
0.0113,322.6678404,0.01136,322.8109043
0.01132,322.6627611,0.01138,322.8084365
0.01134,322.6576828,0.0114,322.8059918
0.01136,322.6526054,0.01142,322.803524
0.01138,322.647529,0.01144,322.80101
0.0114,322.6424535,0.01146,322.7984728
0.01142,322.6373789,0.01147,322.79582
0.01144,322.6323052,0.01149,322.7930284
0.01146,322.6272325,0.01151,322.7903988
0.01148,322.6221607,0.01155,322.7875841
0.0115,322.6170898,0.01157,322.7850007
0.01152,322.6120199,0.01159,322.7821397
0.01154,322.6069509,0.01161,322.7795332
0.01156,322.6018828,0.01163,322.7769035
0.01158,322.5968157,0.01165,322.7745051
0.0116,322.5917495,0.01166,322.7720142
0.01162,322.5866842,0.01169,322.7690839
0.01164,322.5816198,0.0117,322.7662692
0.01166,322.5765564,0.01174,322.7637552
0.01168,322.5714939,0.01176,322.7612874
0.0117,322.5664324,0.01178,322.7587733
0.01172,322.5613717,0.01179,322.7562593
0.01174,322.556312,0.01182,322.753699
0.01176,322.5512532,0.01184,322.7508843
0.01178,322.5461954,0.01186,322.7482547
0.0118,322.5411385,0.01187,322.7456713
0.01182,322.5360825,0.01189,322.7428797
0.01184,322.5310274,0.01193,322.74025
0.01186,322.5259733,0.01195,322.7375972
0.01188,322.5209201,0.01197,322.7348982
0.0119,322.5158678,0.01199,322.731991
0.01192,322.5108164,0.012,322.7293151
0.01194,322.505766,0.01202,322.7267317
0.01196,322.5007165,0.01205,322.7241714
0.01198,322.495668,0.01206,322.7217268
0.012,322.4906203,0.01209,322.719074
0.01202,322.4855736,0.01209,322.7164443
0.01204,322.4805278,0.01214,322.7137453
0.01206,322.4754829,0.01216,322.711185
0.01208,322.470439,0.01218,322.708301
0.0121,322.465396,0.0122,322.7053475
0.01212,322.4603539,0.01221,322.7026716
0.01214,322.4553127,0.01223,322.7001114
0.01216,322.4502725,0.01225,322.697528
0.01218,322.4452332,0.01227,322.6952683
0.0122,322.4401948,0.01228,322.692708
0.01222,322.4351574,0.01228,322.6901478
0.01224,322.4301208,0.01233,322.6875875
0.01226,322.4250852,0.01235,322.6850041
0.01228,322.4200505,0.01236,322.6823513
0.0123,322.4150168,0.01238,322.6797217
0.01232,322.4099839,0.0124,322.677092
0.01234,322.404952,0.01243,322.6743467
0.01236,322.399921,0.01244,322.6717633
0.01238,322.394891,0.01246,322.6691799
0.0124,322.3898618,0.01247,322.6665272
0.01242,322.3848336,0.01252,322.6639669
0.01244,322.3798063,0.01254,322.6615454
0.01246,322.3747799,0.01256,322.6589157
0.01248,322.3697545,0.01257,322.656448
0.0125,322.3647299,0.01259,322.6538414
0.01252,322.3597063,0.01261,322.6512349
0.01254,322.3546837,0.01263,322.6486284
0.01256,322.3496619,0.01265,322.6463457
0.01258,322.3446411,0.01266,322.6441323
0.0126,322.3396211,0.01271,322.641572
0.01262,322.3346021,0.01272,322.6391968
0.01264,322.3295841,0.01274,322.6363359
0.01266,322.3245669,0.01277,322.6336137
0.01268,322.3195507,0.01278,322.6307759
0.0127,322.3145354,0.0128,322.6280307
0.01272,322.309521,0.01282,322.6253085
0.01274,322.3045075,0.01284,322.6228176
0.01276,322.299495,0.01285,322.6204655
0.01278,322.2944833,0.0129,322.6178128
0.0128,322.2894726,0.01292,322.6150906
0.01282,322.2844628,0.01293,322.6123916
0.01284,322.279454,0.01295,322.6097157
0.01286,322.274446,0.01297,322.6074561
0.01288,322.269439,0.01299,322.6051271
0.0129,322.2644329,0.01301,322.602405
0.01292,322.2594277,0.01303,322.5995441
0.01294,322.2544234,0.01305,322.5967525
0.01296,322.24942,0.01308,322.594146
0.01298,322.2444176,0.01311,322.5912158
0.013,322.2394161,0.01312,322.588563
0.01302,322.2344155,0.01314,322.5859334
0.01304,322.2294158,0.01316,322.5835813
0.01306,322.224417,0.01318,322.5811135
0.01308,322.2194192,0.0132,322.5785764
0.0131,322.2144223,0.01322,322.5759005
0.01312,322.2094262,0.01324,322.5732246
0.01314,322.2044312,0.01327,322.5708031
0.01316,322.199437,0.01329,322.5683354
0.01318,322.1944437,0.01331,322.565937
0.0132,322.1894514,0.01333,322.5633305
0.01322,322.1844599,0.01335,322.5607471
0.01324,322.1794694,0.01337,322.5581175
0.01326,322.1744798,0.01339,322.5554416
0.01328,322.1694912,0.0134,322.5529045
0.0133,322.1645034,0.01343,322.5503443
0.01332,322.1595165,0.01347,322.5478303
0.01334,322.1545306,0.01348,322.5454551
0.01336,322.1495456,0.0135,322.5430798
0.01338,322.1445615,0.01352,322.5404965
0.0134,322.1395783,0.01354,322.5378206
0.01342,322.134596,0.01356,322.5352603
0.01344,322.1296147,0.01358,322.5326076
0.01346,322.1246342,0.01359,322.5300011
0.01348,322.1196547,0.01362,322.5274177
0.0135,322.1146761,0.01363,322.5246725
0.01352,322.1096984,0.01368,322.5222279
0.01354,322.1047216,0.01369,322.5196214
0.01356,322.0997457,0.01371,322.517223
0.01358,322.0947708,0.01373,322.5147322
0.0136,322.0897967,0.01375,322.5122876
0.01362,322.0848236,0.01377,322.5100048
0.01364,322.0798514,0.01379,322.5073521
